                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.3037,                0.97576,                0.91396,                 1.5183,                 1.1925,                0.89632,                0.85358,                0.33598,                0.47178,                0.20422,                 1.8986,                 2.1453,                 1.0091,                 2.0426,                 2.3746,                 1.0543,              0.0099149,              0.0099149,              0.0099149
                     89,                 1.0462,                0.83452,                0.89761,                 1.3191,                 1.0707,                0.89635,                0.46837,                0.51587,                0.60417,                0.30915,                  2.005,                 1.7962,                  1.051,                 2.1914,                 2.0498,                 1.0769,              0.0099139,              0.0099139,              0.0099139
                     90,                  1.128,                0.93866,                0.91688,                  1.419,                 1.2113,                0.92364,                0.59867,                0.49252,                0.60119,                0.29468,                 2.0582,                 1.5432,                 1.0681,                 2.1191,                 2.0758,                 1.0706,              0.0099129,              0.0099129,              0.0099129
                     91,                 1.1054,                0.87346,                0.91522,                  1.309,                 1.1401,                0.90898,                0.72083,                0.48677,                0.65126,                0.33893,                 1.7407,                 1.5773,                0.95008,                 1.8761,                 1.7783,                0.98507,              0.0099119,              0.0099119,              0.0099119
                     92,                 1.0423,                 0.8432,                0.88972,                 1.2369,                 1.0249,                0.88983,                0.65385,                0.82275,                 0.7909,                0.34255,                 1.9032,                 1.4577,                 1.0166,                 2.0355,                 1.6308,                 1.0075,              0.0099109,              0.0099109,              0.0099109
                     93,                 1.1355,                0.87345,                0.91591,                 1.3633,                 1.0917,                0.89582,                0.52992,                 0.7672,                0.73927,                0.33464,                 2.0043,                 1.5083,                 1.0851,                 1.9677,                 1.9017,                 1.0386,              0.0099099,              0.0099099,              0.0099099
                     94,                 1.1269,                0.85618,                0.92606,                 1.2961,                0.98548,                0.92764,                0.65917,                0.81232,                0.76547,                0.36243,                 1.8644,                 1.3581,                0.98589,                 1.9816,                 1.7178,                 1.0033,              0.0099089,              0.0099089,              0.0099089
                     95,                 1.1358,                0.80316,                 0.9123,                  1.347,                 0.9879,                 0.8995,                0.83824,                0.63316,                0.78558,                0.44095,                 1.7607,                 1.3485,                0.97203,                 1.9005,                 1.6624,                0.99837,              0.0099079,              0.0099079,              0.0099079
                     96,                 1.1954,                 0.8743,                0.89687,                 1.4127,                 1.0119,                 0.8881,                0.73719,                 0.7381,                0.79554,                 0.4376,                 1.6145,                 1.3021,                0.93394,                 1.7712,                 1.9409,                0.96663,              0.0099069,              0.0099069,              0.0099069
                     97,                 1.1186,                0.87262,                0.91571,                  1.302,                 1.0548,                0.90761,                0.71396,                0.75153,                0.79265,                0.39918,                 1.8155,                 1.2629,                 1.0024,                 1.8653,                 1.5959,                 1.0054,               0.009906,               0.009906,               0.009906
                     98,                 1.0748,                 0.8103,                0.90642,                 1.2779,                 1.0019,                0.89717,                0.89548,                0.71938,                0.83232,                0.37778,                 1.8388,                   1.22,                 0.9972,                 2.0551,                  1.451,                 1.0328,               0.009905,               0.009905,               0.009905
                     99,                 1.0752,                0.87898,                0.90684,                 1.3264,                 1.0128,                0.91212,                0.77229,                0.84127,                0.86234,                 0.3825,                 1.6061,                 1.2043,                0.94202,                 1.8301,                 1.4057,                0.97864,               0.009904,               0.009904,               0.009904
                    100,                 1.1195,                0.87929,                0.90683,                 1.3036,                0.98234,                0.91441,                0.92871,                0.73064,                0.84505,                0.44881,                 1.5765,                 1.2795,                0.94983,                 1.8289,                 1.2927,                0.97825,               0.009903,               0.009903,               0.009903
