                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1453,                 0.7678,                0.88319,                 1.3645,                 1.0611,                0.86948,                0.54713,                0.67853,                0.65029,                0.23108,                 2.1035,                 1.6526,                0.93052,                 2.3588,                 1.9892,                0.89956,              0.0014047,              0.0014047,              0.0014047
                     89,                0.99474,                0.69505,                0.89176,                 1.2867,                0.97926,                0.88822,                0.53691,                0.66695,                0.60698,                0.22456,                 2.3346,                 1.7564,                0.96097,                  2.448,                  1.997,                0.91939,              0.0014044,              0.0014044,              0.0014044
                     90,                 1.0221,                0.66398,                0.86047,                 1.1909,                0.82484,                0.86264,                0.46282,                0.60853,                 0.5176,                0.20274,                 2.2722,                 1.9287,                0.95099,                 2.3415,                  2.253,                0.90619,              0.0014041,              0.0014041,              0.0014041
                     91,                 1.0396,                0.69998,                0.85782,                 1.2327,                0.90351,                0.85418,                0.47821,                 0.5947,                0.57621,                0.21427,                 2.3448,                 1.9672,                0.96825,                 2.3172,                 2.2746,                0.91302,              0.0014038,              0.0014038,              0.0014038
                     92,                 1.2458,                0.87105,                0.85947,                 1.4862,                 1.1299,                0.85419,                0.47931,                0.67619,                0.58874,                0.23356,                 2.4266,                 1.7262,                0.97656,                 2.3049,                 1.7778,                0.92046,              0.0014035,              0.0014035,              0.0014035
                     93,                 1.0005,                0.76676,                0.88157,                 1.2982,                 1.0176,                0.87288,                0.54297,                0.65841,                0.66239,                0.26738,                 2.3731,                 1.5897,                0.98666,                 2.2096,                 1.5991,                0.90703,              0.0014033,              0.0014033,              0.0014033
                     94,                 1.0766,                0.75303,                0.86641,                 1.4954,                 1.0683,                0.86354,                0.59958,                0.52032,                0.64362,                0.25198,                  2.445,                 1.7053,                0.98079,                 2.3356,                 1.6731,                0.92082,               0.001403,               0.001403,               0.001403
                     95,                 1.0239,                 0.7524,                0.90526,                 1.2235,                0.93346,                0.86888,                0.64585,                0.64021,                0.72858,                0.25416,                 2.4186,                 1.6637,                0.98866,                 2.3909,                 1.6323,                0.92497,              0.0014027,              0.0014027,              0.0014027
                     96,                0.99303,                0.70768,                0.87518,                 1.1873,                0.87939,                0.86902,                0.72381,                0.64477,                 0.7221,                0.30611,                 2.0938,                   1.35,                0.95241,                 2.2381,                 1.4752,                 0.8871,              0.0014024,              0.0014024,              0.0014024
                     97,                 1.0505,                0.76034,                0.86778,                 1.3444,                 1.0255,                 0.8678,                0.65091,                0.69281,                0.73288,                0.31379,                 2.1543,                 1.2967,                0.96451,                 2.2216,                 1.4316,                0.88324,              0.0014021,              0.0014021,              0.0014021
                     98,                0.94813,                0.71339,                0.88512,                 1.2028,                0.98571,                0.89799,                0.63457,                0.61376,                0.68398,                 0.2782,                 2.3089,                 1.3723,                0.96464,                 2.3539,                 1.4489,                0.90302,              0.0014018,              0.0014018,              0.0014018
                     99,                 1.0421,                0.72877,                0.85768,                 1.2529,                 0.8358,                0.86045,                0.63391,                0.63484,                0.67469,                0.29713,                 2.2946,                 1.3591,                0.96026,                  2.277,                 1.3734,                0.90021,              0.0014016,              0.0014016,              0.0014016
                    100,                 1.0273,                0.72266,                0.86192,                 1.1789,                0.85089,                0.85615,                 0.4978,                0.63175,                0.68381,                0.32869,                 2.1145,                  1.336,                 0.9501,                 2.0383,                 1.4442,                0.88128,              0.0014013,              0.0014013,              0.0014013
                    101,                 1.1745,                0.76186,                0.85626,                 1.4905,                0.94526,                0.85613,                0.52142,                0.73534,                0.73299,                 0.3285,                 2.1409,                 1.3856,                  0.936,                 2.0297,                 1.5047,                0.88529,               0.001401,               0.001401,               0.001401
